State,District,Latitude,Longitude,District code,State name,District name,Male,Female,Population,Literate,Male_Literate,Female_Literate,Workers,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Literate_Education,Illiterate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,No. of females per 1000 males,Literacy_ratio
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,ANDHRA PRADESH,Mahbubnagar,2050386,2002642,4053028,1940646,1158386,782260,2082501,931084,57846,3673456,334172,21345,658,290,388,2049104,1604319,2360874,1027525,637430,977.0,48.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,ANDHRA PRADESH,Medak,1523030,1510258,3033288,1637137,953406,683731,1442203,571129,67642,2637313,342449,34301,1309,554,457,2029580,1199818,1735769,779738,509368,992.0,54.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,ANDHRA PRADESH,Nalgonda,1759772,1729037,3488809,2001019,1160757,840262,1741693,863131,45124,3249231,188646,35025,937,241,250,2188695,1294811,1932349,897137,651748,983.0,57.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,ANDHRA PRADESH,Nizamabad,1250641,1300694,2551335,1389810,790214,599596,1261076,448281,171311,2123426,391596,19653,2357,1847,542,1804547,1041862,1399773,676401,437573,1040.0,54.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,ANDHRA PRADESH,Prakasam,1714764,1682684,3397448,1904435,1107686,796749,1700567,889218,42603,3150195,220654,18775,266,97,204,1900943,1218310,1832695,917391,641707,981.0,56.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,ANDHRA PRADESH,Srikakulam,1341738,1361376,2703114,1495381,857824,637557,1290288,700833,34479,2666950,9025,18879,193,77,160,1499877,1009992,1423119,747385,528736,1015.0,55.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,ANDHRA PRADESH,Vizianagaram,1161477,1182997,2344474,1238388,707503,530885,1157962,557254,27469,2299129,16423,17853,380,114,815,1240323,1031683,1206366,666394,451469,1019.0,53.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,ANDHRA PRADESH,Warangal,1759281,1753295,3512576,2065023,1179790,885233,1705655,758092,43550,3273755,197333,31377,1453,253,569,2212184,1191252,1891954,941452,664872,997.0,59.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,ANDHRA PRADESH,West Godavari,1964918,1972048,3936966,2652389,1379223,1273166,1773112,1061787,33861,3733191,86142,109120,288,209,1578,2771842,1028767,2051513,1127764,755533,1004.0,67.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,ARUNACHAL PRADESH,Changlang,76948,71278,148226,73174,44027,29147,62966,4208,496,47683,2134,35969,94,50381,95,80456,57290,96630,35018,16414,926.0,49.0
